"Incident Number","Incident Types","Reported Date","Nearest Populated Centre","Province","Company","Status","Latitude","Longitude","Approximate Volume Released (m3)","Substance","Release Type","Significant","Year","Occurrence Date and Time","Discovered Date and Time","Detailed what happened","What happened category","Detailed why it happened","Why it happened category","Duration of interruption of pipeline operations","Pipeline or Facility Type","Activity being performed at time of incident","How the incident was discovered","Closed Date","Pipeline or facility equipment involved","Rupture","Incident type","Released substance type","Released volume (m3)","Pipe body release","Residual effects on the environment","Source of Explosion","Source of Fire","Activity at time of fatality","Number of fatalities","Type of Injury","Number of individuals injured","Workdays lost","Work restricted by injury","Conditions that resulted in the operation beyond  limits","Conditions that resulted in adverse effects on the environment","Number of people evacuated","Regulation","Pipeline Name","Pipeline outside diameter (NPS)","Pipeline length (km)","Substance carried","Facility Name","Facility Type","Facility latitude","Facility longitude","Country","Affects Company Property","Off Company Property","Affects Pipeline right-of-way","Affects off Pipeline right-of-way","Land Use","Population Density","Kilometre post","Emergency Level","Investigation Type","Was NEB Staff Deployed","Related NEB event number","Equipment or component involved","Design standard","Nominal pipe size","Material","Material grade","Schedule","Design wall thickness (mm)","Custom design wall thickness (mm)","Actual wall thickness (mm)","Licensed maximum operating pressure (kPa)","Restricted operating pressure (kPa)","Actual operating pressure at time of failure (kPa)","Designed depth of cover (m)","Actual depth of cover (m)","Year of manufacture","Year of installation","Year when put into service","Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4)","Weld type ","Seam type","Seam joining method","Seam clock position","Coating location","Coating type","Coating condition","Application method","Year when the coating was applied","Insulation installed","Repair type","Repair date","Equipment or component has never been inspected","Most recent inspection date for the failed equipment or component","Type of most recent inspection","Most recent inspection part of the routine inspection program","No maintenance done on this equipment or component","Date of the most recent maintenance work for the failed equipment or component","Most recent maintenance Type","Most recent maintenance work part of the routine maintenance program"
"INC2011-167","Fire","10/31/2011","Hearst","Ontario","TransCanada PipeLines Limited","Closed","49.67061000","-83.65592000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/10/31 03:30:00 AM Mountain","2011/10/31 03:30:00 AM Mountain","","To be determined","","To be determined","","","Maintenance","Employee / Contractor (Onsite)","2017/11/28","No","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","LINE 100-2","508.00000000, 609.60000000, 762.00000000, 863.60000000, 914.40000000","3393.42642026","Natural Gas","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-168","Fire","11/04/2011","Yahk","British Columbia","Foothills Pipe Lines Ltd.","Closed","49.07839000","-116.10601000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/11/03 12:00:00 AM Mountain","2011/11/03 02:00:00 PM Mountain","Damage or deterioration mechanism, Construction, Defective Other Joint","Defect and Deterioration","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs;Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution;Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Maintenance, Standards and Procedures","","","Operation","Employee / Contractor (Onsite)","2014/02/25","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","Foothills - East Kootenay Exchange Meter Station","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","10 or fewer dwelling units","","Level I","Standard Review - 168 days","No","","Station/Facility, Metering, Delivering, Auxiliary power unit","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-171","Release of Substance","11/20/2011","Whitecourt","Alberta","NOVA Gas Transmission Ltd.","Closed","54.14314000","-115.36091000","50.0000","Natural Gas - Sweet","Gas","No","2011","2011/11/19 12:00:00 AM Mountain","2011/11/19 06:30:00 PM Mountain","Damage or deterioration mechanism, Other Causes, Control System Malfunction","Equipment Failure","Job or system factors, Inadequate engineering, Inadequate monitoring of construction","Engineering and Planning","","","Operation","3rd Party / Other Company","2014/03/20","Yes","No","Release of Substance","Natural Gas - Sweet","50.0000","No","No","","","","","","","","","","","0","OPR","NGTL - Greencourt West Meter Station","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Metering, Delivering, Auxiliary device(s) (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-172","Release of Substance","11/20/2011","Donnelly","Alberta","NOVA Gas Transmission Ltd.","Closed","55.72877000","-117.08296000","Not Provided","Natural Gas - Sweet","Gas","No","2011","2011/11/19 12:00:00 AM Mountain","2011/11/19 10:00:00 PM Mountain","Damage or deterioration mechanism, Other Causes, Control System Malfunction","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Maintenance","","","Operation","3rd Party / Other Company","2014/03/20","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","NGTL - Fahler Meter Station","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Metering, Delivering, Auxiliary device(s) (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-173","Release of Substance","11/21/2011","Calstock","Ontario","TransCanada PipeLines Limited","Closed","49.74457000","-84.06787000","4.0000","Natural Gas - Sweet","Gas","No","2011","2011/11/21 12:00:00 AM Mountain","2011/11/21 10:50:00 AM Mountain","Damage or deterioration mechanism, Construction, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units","Maintenance","","","Operation","Employee / Contractor (Onsite)","2014/03/20","Yes","No","Release of Substance","Natural Gas - Sweet","4.0000","No","No","","","","","","","","","","","0","OPR","LINE 100-1","508.00000000, 762.00000000, 863.60000000","2595.72453402","Natural Gas","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Fitting","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-174","Fire","11/21/2011","Maple","Ontario","TransCanada PipeLines Limited","Closed","43.87374000","-79.57983000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/11/12 06:58:00 PM Mountain","2011/11/12 11:33:00 AM Mountain","Damage or deterioration mechanism, Equipment, Gasket/O-ring;Substandard Acts, Failure to secure;Substandard Acts, Failure to follow procedure or policy or practice;Substandard Conditions, Inadequate instructions or procedures","Equipment Failure, External Interference, Incorrect Operation","Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units","Maintenance","No pipeline interruption","Transmission","Operation","Other Control System","2016/06/30","Yes","No","Fire","","","","No","","Equipment & Electrical","","","","","","","","","0","OPR","LINE 100-1","508.00000000, 762.00000000, 863.60000000","2595.72453402","Natural Gas","STN 130 - MAPLE","","43.87374203","-79.57983402","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Compressor","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-175","Operation Beyond Design Limits","11/24/2011","Portage La Prairie","Manitoba","TransCanada Keystone Pipeline GP Ltd.","Closed","49.91197000","-98.51779000","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/11/24 12:42:00 PM Mountain","2011/11/24 12:42:00 PM Mountain","","To be determined","","To be determined","","","Construction","Employee / Contractor (Onsite)","2017/05/04","No","No","Operation Beyond Design Limits","","","","No","","","","","","","","","Over Pressure","","0","OPR","","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Kilometer Post 1099.9","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-177","Fire","12/02/2011","Fort Frances","Ontario","Centra Transmission Holdings Inc.","Closed","48.61342500","-93.41777800","Not Applicable","Not Applicable","Not Applicable","No","2011","2011/12/01 12:00:00 AM Mountain","2011/12/01 12:00:00 AM Central","Damage or deterioration mechanism, Equipment, Gasket/O-ring","Equipment Failure","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Standards and Procedures","","","Construction","Employee / Contractor (Onsite)","2014/03/31","Yes","No","Fire","","","","No","","Welding or Cutting","","","","","","","","","0","OPR","Rainy River/Fort Frances","323.90000000","94.90328073","Natural Gas","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-178","Release of Substance","12/05/2011","Huntsville","Ontario","TransCanada PipeLines Limited","Closed","45.37573600","-79.23930600","Not Provided","Natural Gas - Sweet","Gas","No","2011","","2011/12/01 10:00:00 AM Mountain","Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Inadequate engineering, Inadequate monitoring of construction","Engineering and Planning","","","Maintenance","Employee / Contractor (Onsite)","2014/03/20","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","TCPL -  MLV 120","","","","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Mainline Valve + Offset (km) 120","Level I","Standard Review - 168 days","No","","Pipeline, Fitting, Other (please explain)","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-179","Release of Substance","12/06/2011","Amisk","Alberta","NOVA Gas Transmission Ltd.","Closed","52.54673000","-111.03052000","Not Provided","Natural Gas - Sweet","Gas","No","2011","2011/12/06 04:00:00 PM Mountain","2011/12/06 04:00:00 PM Mountain","Damage or deterioration mechanism, Cracking, Stress Corrosion Cracking","Corrosion and Cracking","Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring","Maintenance","","","Operation","Landowner","2017/05/04","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","","","","","","","","","Canada","No","No","Yes","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Legal Subdivision NW-24-41-08 W4","Level I","Standard Review - 168 days","No","REM-0147","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-180","Release of Substance","12/07/2011","Glenboro","Manitoba","Enbridge Pipelines Inc.","Closed","49.54445000","-99.32070000","7.0000","Crude Oil - Sweet","Liquid","No","2011","","2011/12/07 08:30:00 AM Mountain","Damage or deterioration mechanism, Equipment, Valve Seals or Packing","Equipment Failure","Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly","Maintenance","","","Operation","Employee / Contractor (Onsite)","2014/03/20","Yes","No","Release of Substance","Crude Oil - Sweet","7.0000","No","No","","","","","","","","","","","0","OPR","","","","","","Meter","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","REM-0148","Station/Facility, Pumping, Valve","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-183","Release of Substance","12/14/2011","Steelman","Saskatchewan","Enbridge Pipelines (Westspur) Inc.","Closed","49.28813000","-102.63736000","2.0000","Crude Oil - Sweet","Liquid","No","2011","","2011/12/13 04:00:00 PM Central","Damage or deterioration mechanism, Other Causes, Improper Operation","Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules","Standards and Procedures","","","Operation","Employee / Contractor (Onsite)","2012/02/06","Yes","No","Release of Substance","Crude Oil - Sweet","2.0000","No","No","","","","","","","","","","","0","OPR","EPI (Westspur) - Steelman Terminal","","","","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","Legal Subdivision LSD: 16-8-4-5-W2","Level I","Standard Review - 168 days","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","","","No","","","No","No","","","No"
"INC2011-185","Release of Substance","12/20/2011","Ignace","Ontario","TransCanada PipeLines Limited","Closed","49.26712000","-91.23269000","Not Provided","Natural Gas - Sweet","Gas","No","2011","","2011/12/20 08:30:00 AM Mountain","Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body","Defect and Deterioration","Job or system factors, Excessive wear and tear, Improper loading or rate of use","Maintenance","","","Operation","Employee / Contractor (Onsite)","2012/05/15","Yes","No","Release of Substance","Natural Gas - Sweet","0.0000","No","No","","","","","","","","","","","0","OPR","LINE 100-1","508.00000000, 762.00000000, 863.60000000","2595.72453402","Natural Gas","","","","","Canada","Yes","No","No","No","Unknown Land Use (Historical Data Migration)","Unknown Population Density (Historical Data Migration)","","Level I","Standard Review - 168 days","No","","Station/Facility, Compression, Fitting","","","","","","","","","","","","","","","","","","","","","","","","","","","No","Replacement","2011-12-20","No","","","No","No","2011-12-20","Replacement","No"
